mode,spatial,singular,m_c,m_h,T_c,T_h,vel_ratio
7,0.01828704130925205,65.78420923994778,416.75101,5.65026,36.41,95.04,73.75784654157508
8,0.015460567834543647,63.334271636842224,416.75101,5.65026,36.41,95.04,73.75784654157508
9,0.01004196656176112,55.17747089744885,416.75101,5.65026,36.41,95.04,73.75784654157508
10,0.02014954031909189,51.81436048153337,416.75101,5.65026,36.41,95.04,73.75784654157508
11,0.007252991448484592,49.24818309500681,416.75101,5.65026,36.41,95.04,73.75784654157508
12,0.030282447798285064,45.81036040531534,416.75101,5.65026,36.41,95.04,73.75784654157508
13,0.004351301457820316,44.541447104732825,416.75101,5.65026,36.41,95.04,73.75784654157508
14,0.006918571790816694,43.06375713275902,416.75101,5.65026,36.41,95.04,73.75784654157508
15,0.01911811541515703,40.24530822645391,416.75101,5.65026,36.41,95.04,73.75784654157508
16,0.006794879737190888,39.98267397197368,416.75101,5.65026,36.41,95.04,73.75784654157508
17,0.019545807391313598,37.78367061174855,416.75101,5.65026,36.41,95.04,73.75784654157508
18,0.009608291976459871,35.711204294474776,416.75101,5.65026,36.41,95.04,73.75784654157508
19,0.014643364439720518,35.005384882448205,416.75101,5.65026,36.41,95.04,73.75784654157508
0,0.010184560169034546,149.16645008166068,202.5945,2.01641,29.84,53.63,100.47287010082275
1,0.004937373724051505,107.30308295424287,202.5945,2.01641,29.84,53.63,100.47287010082275
2,0.05093529234660414,70.95880736253852,202.5945,2.01641,29.84,53.63,100.47287010082275
3,0.022661341795230733,66.96801552511224,202.5945,2.01641,29.84,53.63,100.47287010082275
4,0.02293327888196365,57.73705061066222,202.5945,2.01641,29.84,53.63,100.47287010082275
5,0.037004839892902874,51.943615134934156,202.5945,2.01641,29.84,53.63,100.47287010082275
6,0.01061080267065991,51.01548750389671,202.5945,2.01641,29.84,53.63,100.47287010082275
7,0.027934206724102427,42.2743309345663,202.5945,2.01641,29.84,53.63,100.47287010082275
8,0.05761629872096895,40.31208549627094,202.5945,2.01641,29.84,53.63,100.47287010082275
9,0.04147114323610459,39.00916389312403,202.5945,2.01641,29.84,53.63,100.47287010082275
10,0.010055188296021807,35.222516110250965,202.5945,2.01641,29.84,53.63,100.47287010082275
11,0.05761666087342763,32.88680069926138,202.5945,2.01641,29.84,53.63,100.47287010082275
12,0.03736090275702739,29.961630280358897,202.5945,2.01641,29.84,53.63,100.47287010082275
